video_id,title,description,published_at,viewCount,likeCount,commentCount,duration
UigGPZYdyoo,Just LEARN THESE 6 courses to Make Money Online in 2026,"In this video, I break down how you can shift from being a consumer to a creator, and use tools like ChatGPT, Claude, and Gemini to build your own billion-dollar future.

We talk about the World Economic Forum’s Future of Jobs Report, the fastest-rising AI skills, beginner-friendly Coursera courses, prompt engineering, and how non-tech learners can enter the creator side with confidence.

Use this link to sign up:
https://lnkd.in/dsp3c5Ky

Google AI Essentials Specialization
https://lnkd.in/djuDmSin

Microsoft AI Product Manager
https://lnkd.in/dvMsUHxb?

IBM Generative AI Engineering
https://lnkd.in/dfkX66Ae

Generative AI with LLMs
https://lnkd.in/dArxRQJi

Watch this video if:
✨ You want to start with AI but don’t know how.
✨ You’re stuck on the consumer side and want to become a creator.
✨ You’re from a non-tech background.
✨ You want the top rising AI skills for 2025–2030.
✨ You need beginner-friendly courses that actually help.
✨ You want to build your CV, LinkedIn, or portfolio with AI.

✎ Connect with Me
💛 Newsletter: https://shrutiraj.substack.com/
♥️ Instagram:- https://www.instagram.com/shrutirajput.in/
🌟 Whatsapp:- https://whatsapp.com/channel/0029Va55AVh9xVJXZvzjsS3M
🐨 Twitter:- https://x.com/ShrutiiRajput
📌 My Profile: https://cosmofeed.com/bookings/shrutirajputin

🎯 Must-Have Items:-
🌟 Canva PlayBook:- Canva PlayBook:- https://spf.bio/wpqXf
📒 Broke to Freelancer:- https://shorturl.at/djorF
💰 Canva Ebook:- https://topmate.io/shruti_rajput/599203
🚀 Try Canva Pro:- https://partner.canva.com/1rVPAx
✅ Mentorship:- https://topmate.io/shruti_rajput
📒 My 1st Book:- Cash in with Canva :-  https://www.amazon.in/dp/B0CK5SBCPT

🚨 Equipment I use to Make My videos:
Mic 🎙️: https://amzn.to/42OENyf
Lights 😶‍🌫️ :- https://amzn.to/3T3tYF8
Laptop 💻:- https://amzn.to/3wn9jmt
📱 Phone:- https://amzn.to/3UPKyd2
🎥 Tripod:- https://amzn.to/49Kdp6r

🚀 Timestamps:-
00:00 Intro
02:00 AI For Everyone
04:18 Prompt Engineering for GhatGPT
05:25 Intro to Generative AI
06:59 IBM Generative AI Engineering Professional Certificate
08:29 Microsoft AI Product Manager

✨ Tags ✨
shruti rajput, artificial intelligence,machine learning,ai engineering,ai career,how to build ai,how to build ai apps,generative ai course google,free ai courses for beginners,free artificial intelligence courses,chatgpt for developers,free chatgpt course,prompt engineering free course,how to become ai engineer,become ai ml engineer,ai developer roadmap,ai engineer roadmap,ai for beginners,how to learn ai,free courses,ai software engineer, coursera

✨ Hashtags ✨
#courses #ai #artificialintelligence #shrutirajput",2025-12-04 10:30:31+00:00,1831,120,15,603
n5Ev-klyqXc,My journey ❤️🤍 I just felt like sharing 🫠❤️  #vlog,"Don't forget to like, comment, and subscribe for more design tips and tools every week!

✎ Connect with Me
💛 Newsletter: https://shrutiraj.substack.com/
♥️ Instagram:- https://www.instagram.com/shrutirajput.in/
🌟 Whatsapp:- https://whatsapp.com/channel/0029Va55AVh9xVJXZvzjsS3M
🐨 Twitter:- https://x.com/ShrutiiRajput
📌 My Profile: https://cosmofeed.com/bookings/shrutirajputin

🎯 Must-Have Items:-
🌟 Canva PlayBook:- Canva PlayBook:- https://spf.bio/wpqXf
📒 Broke to Freelancer:- https://shorturl.at/djorF
💰 Canva Ebook:- https://topmate.io/shruti_rajput/599203
🚀 Try Canva Pro:- https://partner.canva.com/1rVPAx
✅ Mentorship:- https://topmate.io/shruti_rajput
📒 My 1st Book:- Cash in with Canva :-  https://www.amazon.in/dp/B0CK5SBCPT

🚨 Equipment I use to Make My videos:
Mic 🎙️: https://amzn.to/42OENyf
Lights 😶‍🌫️ :- https://amzn.to/3T3tYF8
Laptop 💻:- https://amzn.to/3wn9jmt
📱 Phone:- https://amzn.to/3UPKyd2
🎥 Tripod:- https://amzn.to/49Kdp6r

vlog, college life, slice of life, living, INDIAN COLLEGE,college tips,best indian college,btech,bba,how to survive college,how to make friends,college guide,how to make new friends,Indian college vlog,college advice,college vlog,college advice for freshmen,high school,college life,college decision reaction,college reaction,college,study tips,school advice,syds vids,back to school,freshman college advice,best college advice,making friends in college,motivation to study

#shrutirajput #FreeDesignTools #DesignResources #DesignHacks",2025-12-02 10:30:40+00:00,6310,588,20,78
fR-2AiAxDhk,"POV: I Made ₹2,687 in 60- Minutes from the Easiest Canva Order on Fiverr","POV: I Made ₹2,687 in 1 hour from the Easiest Canva Order I’ve ever done on Fiverr—and in this video, I’m breaking it all down.

🎯 What you’ll see:
- Real Fiverr client messages
- Full Canva design process (planner + interior)
- How I handled revisions and feedback
- Final delivery and client reaction
- Tips for beginners to land high-paying Canva orders

💬 This video is perfect for:
- Students and freelancers in India
- Canva beginners looking to earn online
- Anyone curious about Fiverr and real client work

🛠 Tools used: Canva (Free), Fiverr, Google Docs

✎ Connect with Me
💛 Newsletter: https://shrutiraj.substack.com/
♥️ Instagram:- https://www.instagram.com/shrutirajput.in/
🌟 Whatsapp:- https://whatsapp.com/channel/0029Va55AVh9xVJXZvzjsS3M
🐨 Twitter:- https://x.com/ShrutiiRajput
📌 My Profile: https://cosmofeed.com/bookings/shrutirajputin

🎯 Must-Have Items:-
🌟 Canva PlayBook:- Canva PlayBook:- https://spf.bio/wpqXf
📒 Broke to Freelancer:- https://shorturl.at/djorF
💰 Canva Ebook:- https://topmate.io/shruti_rajput/599203
🚀 Try Canva Pro:- https://partner.canva.com/1rVPAx
✅ Mentorship:- https://topmate.io/shruti_rajput
📒 My 1st Book:- Cash in with Canva :-  https://www.amazon.in/dp/B0CK5SBCPT

🚨 Equipment I use to Make My videos:
Mic 🎙️: https://amzn.to/42OENyf
Lights 😶‍🌫️ :- https://amzn.to/3T3tYF8
Laptop 💻:- https://amzn.to/3wn9jmt
📱 Phone:- https://amzn.to/3UPKyd2
🎥 Tripod:- https://amzn.to/49Kdp6r


#shrutirajput #canva #fiverr",2025-11-27 10:30:27+00:00,5897,265,47,481
Ze1t4p0QCT0,"You know that phase when life says 'Bas, ho gya ab rest lelo.' #srj #vlog","Don't forget to like, comment, and subscribe for more design tips and tools every week!

✎ Connect with Me
💛 Newsletter: https://shrutiraj.substack.com/
♥️ Instagram:- https://www.instagram.com/shrutirajput.in/
🌟 Whatsapp:- https://whatsapp.com/channel/0029Va55AVh9xVJXZvzjsS3M
🐨 Twitter:- https://x.com/ShrutiiRajput
📌 My Profile: https://cosmofeed.com/bookings/shrutirajputin

🎯 Must-Have Items:-
🌟 Canva PlayBook:- Canva PlayBook:- https://spf.bio/wpqXf
📒 Broke to Freelancer:- https://shorturl.at/djorF
💰 Canva Ebook:- https://topmate.io/shruti_rajput/599203
🚀 Try Canva Pro:- https://partner.canva.com/1rVPAx
✅ Mentorship:- https://topmate.io/shruti_rajput
📒 My 1st Book:- Cash in with Canva :-  https://www.amazon.in/dp/B0CK5SBCPT

🚨 Equipment I use to Make My videos:
Mic 🎙️: https://amzn.to/42OENyf
Lights 😶‍🌫️ :- https://amzn.to/3T3tYF8
Laptop 💻:- https://amzn.to/3wn9jmt
📱 Phone:- https://amzn.to/3UPKyd2
🎥 Tripod:- https://amzn.to/49Kdp6r

vlog, college life, slice of life, living, INDIAN COLLEGE,college tips,best indian college,btech,bba,how to survive college,how to make friends,college guide,how to make new friends,Indian college vlog,college advice,college vlog,college advice for freshmen,high school,college life,college decision reaction,college reaction,college,study tips,school advice,syds vids,back to school,freshman college advice,best college advice,making friends in college,motivation to study

#shrutirajput #FreeDesignTools #DesignResources #DesignHacks",2025-11-25 10:30:32+00:00,8944,666,4,61
Tr6Z8guOdM4,Complete Beginners Guide To Affinity Pixel Studio | Premium Crash Course for Beginners in Hindi,"Complete Beginners Guide To Affinity Pixel Studio | Premium Crash Course for Beginners in Hindi
Affinity by Canva Pixel Crash Course 2025

In this 30-minute Pixel Persona Crash Course, you’ll learn everything you need to navigate Canva’s new Pixel Persona photo editing workspace, a next-gen upgrade built for creators who want advanced editing tools without the overwhelm.

This tutorial breaks down every feature inside the Pixel Persona — from workspace setup, brush tools, layers, adjustments, retouching, to essential photo-editing panels.

Perfect for beginners, designers, and anyone switching from Photoshop or Affinity.

✎ Connect with Me
💛 Newsletter: https://shrutiraj.substack.com/
♥️ Instagram:- https://www.instagram.com/shrutirajput.in/
🌟 Whatsapp:- https://whatsapp.com/channel/0029Va55AVh9xVJXZvzjsS3M
🐨 Twitter:- https://x.com/ShrutiiRajput
📌 My Profile: https://cosmofeed.com/bookings/shrutirajputin

🎯 Must-Have Items:-
🌟 Canva PlayBook:- Canva PlayBook:- https://spf.bio/wpqXf
📒 Broke to Freelancer:- https://shorturl.at/djorF
💰 Canva Ebook:- https://topmate.io/shruti_rajput/599203
🚀 Try Canva Pro:- https://partner.canva.com/1rVPAx
✅ Mentorship:- https://topmate.io/shruti_rajput
📒 My 1st Book:- Cash in with Canva :-  https://www.amazon.in/dp/B0CK5SBCPT

🚨 Equipment I use to Make My videos:
Mic 🎙️: https://amzn.to/42OENyf
Lights 😶‍🌫️ :- https://amzn.to/3T3tYF8
Laptop 💻:- https://amzn.to/3wn9jmt
📱 Phone:- https://amzn.to/3UPKyd2
🎥 Tripod:- https://amzn.to/49Kdp6r

🚀 Timestamps:-
00:00 Intro
01:45 Pixel Studio in Affinity by Canva
35:09 Outro

shruti rajput,freelancing,make money online, affinity designer tutorial, how to use Affinity Designer, Affinity Designer beginners, Affinity Designer logo design, Affinity Designer vector graphics, Affinity Photo alternative Photoshop, Photoshop alternative 2025, graphic design software tutorial, Adobe Illustrator for beginners, logo design Illustrator tutorial, free Affinity download Windows, Affinity Publisher Canva, Canva design tools 2025, Affinity AI features, Canva review 2025, graphic design software,free Photoshop alternative,Affinity tutorial for beginners,Photoshop killer 2025

#AffinityByCanva #PixelPersona #CanvaAffinity #FreeDesignTool #PhotoEditing #CanvaAI
#AffinityTutorial #DesignCrashCourse #CreativeSuite #CanvaDesign #AffinityStudio #shrutirajput",2025-11-20 10:30:31+00:00,2257,94,30,2140
0eIDN3uZiCg,I’m super excited for this new journey. I hope you are too ❤️,"Time for a cool introduction, right?
Will the day I plan to do this that day I had 50 K followers and now that I’m not consistent enough. We have lost 200 followers, but nothing to worry about will get there.

So the next goal is obviously hundred K followers

For that, I am promising myself that every Tuesday I’ll be posting a reel and maybe one or two carousels.

Well, this is gonna be challenging for myself, but I’m here for it

So every Tuesday you’ll get a real at 4:30 PM

I’m super excited for this new journey. I hope you are too.

Thanks
Bye ❤️

Don't forget to like, comment, and subscribe for more design tips and tools every week!

✎ Connect with Me
💛 Newsletter: https://shrutiraj.substack.com/
♥️ Instagram:- https://www.instagram.com/shrutirajput.in/
🌟 Whatsapp:- https://whatsapp.com/channel/0029Va55AVh9xVJXZvzjsS3M
🐨 Twitter:- https://x.com/ShrutiiRajput
📌 My Profile: https://cosmofeed.com/bookings/shrutirajputin

🎯 Must-Have Items:-
🌟 Canva PlayBook:- Canva PlayBook:- https://spf.bio/wpqXf
📒 Broke to Freelancer:- https://shorturl.at/djorF
💰 Canva Ebook:- https://topmate.io/shruti_rajput/599203
🚀 Try Canva Pro:- https://partner.canva.com/1rVPAx
✅ Mentorship:- https://topmate.io/shruti_rajput
📒 My 1st Book:- Cash in with Canva :-  https://www.amazon.in/dp/B0CK5SBCPT

🚨 Equipment I use to Make My videos:
Mic 🎙️: https://amzn.to/42OENyf
Lights 😶‍🌫️ :- https://amzn.to/3T3tYF8
Laptop 💻:- https://amzn.to/3wn9jmt
📱 Phone:- https://amzn.to/3UPKyd2
🎥 Tripod:- https://amzn.to/49Kdp6r

vlog, college life, slice of life, living, INDIAN COLLEGE,college tips,best indian college,btech,bba,how to survive college,how to make friends,college guide,how to make new friends,Indian college vlog,college advice,college vlog,college advice for freshmen,high school,college life,college decision reaction,college reaction,college,study tips,school advice,syds vids,back to school,freshman college advice,best college advice,making friends in college,motivation to study

#shrutirajput #FreeDesignTools #DesignResources #DesignHacks",2025-11-18 10:30:01+00:00,15161,812,11,43
fbd903qIEns,7 Lessons for my Younger Self! (Watch this if you are 18-25 years old),"7 Things I wish I knew BEFORE 2025 started (My Honest Learnings)

If you’ve ever looked back at a year and thought, “I wish someone told me this sooner,” this one’s for you.

Here are the 7 lessons, mindset shifts, and quiet truths I learned (the hard way) in 2025. From burnout to boundaries, from chasing goals to finding peace — this video is a little heart-to-heart and a lot of self-reflection.

Watch if you love:
– Self-improvement videos
– Reflective year-end lessons
– 2025 reset & glow-up content
– Motivational journaling prompts
– Honest life advice

✎ Connect with Me
💛 Newsletter: https://shrutiraj.substack.com/
♥️ Instagram:- https://www.instagram.com/shrutirajput.in/
🌟 Whatsapp:- https://whatsapp.com/channel/0029Va55AVh9xVJXZvzjsS3M
🐨 Twitter:- https://x.com/ShrutiiRajput
📌 My Profile: https://cosmofeed.com/bookings/shrutirajputin

🎯 Must-Have Items:-
🌟 Canva PlayBook:- Canva PlayBook:- https://spf.bio/wpqXf
📒 Broke to Freelancer:- https://shorturl.at/djorF
💰 Canva Ebook:- https://topmate.io/shruti_rajput/599203
🚀 Try Canva Pro:- https://partner.canva.com/1rVPAx
✅ Mentorship:- https://topmate.io/shruti_rajput
📒 My 1st Book:- Cash in with Canva :-  https://www.amazon.in/dp/B0CK5SBCPT

🚨 Equipment I use to Make My videos:
Mic 🎙️: https://amzn.to/42OENyf
Lights 😶‍🌫️ :- https://amzn.to/3T3tYF8
Laptop 💻:- https://amzn.to/3wn9jmt
📱 Phone:- https://amzn.to/3UPKyd2
🎥 Tripod:- https://amzn.to/49Kdp6r

🚀 Timestamps:-
00:00 Intro
02:07 Enjoy your own company
07:49 What is made for you, will come to you
10:11 You are allowed to take breaks
11:59 Family over Anything
14:00 Your career deserves your focus
16:50 Time heals
17:00 Never give up on yourself

TAGS ✨
things I wish I knew before 2025, 2025 life lessons, what I learned in 2025, life lessons 2025, things I learned before the new year, personal growth 2025, self improvement journey, mindset shift 2025, new year reflection, year-end reflection, journaling vibes, mindful living, healing journey, self discovery, emotional growth, cozy reset, gentle motivation, reflective video aesthetic, self care mindset, 2025 reflection, life lessons, self growth, mindful living, healing journey, self improvement, personal growth

#shrutirajput #2025GlowUp #LifeLessons #SelfImprovement #MindsetShift #PersonalGrowth",2025-11-13 10:30:25+00:00,3682,250,61,1152
fPpBv7UGHT4,"My story of comeback 💖 Reset, recharge but don't give up","Don't forget to like, comment, and subscribe for more design tips and tools every week!

✎ Connect with Me
💛 Newsletter: https://shrutiraj.substack.com/
♥️ Instagram:- https://www.instagram.com/shrutirajput.in/
🌟 Whatsapp:- https://whatsapp.com/channel/0029Va55AVh9xVJXZvzjsS3M
🐨 Twitter:- https://x.com/ShrutiiRajput
📌 My Profile: https://cosmofeed.com/bookings/shrutirajputin

🎯 Must-Have Items:-
🌟 Canva PlayBook:- Canva PlayBook:- https://spf.bio/wpqXf
📒 Broke to Freelancer:- https://shorturl.at/djorF
💰 Canva Ebook:- https://topmate.io/shruti_rajput/599203
🚀 Try Canva Pro:- https://partner.canva.com/1rVPAx
✅ Mentorship:- https://topmate.io/shruti_rajput
📒 My 1st Book:- Cash in with Canva :-  https://www.amazon.in/dp/B0CK5SBCPT

🚨 Equipment I use to Make My videos:
Mic 🎙️: https://amzn.to/42OENyf
Lights 😶‍🌫️ :- https://amzn.to/3T3tYF8
Laptop 💻:- https://amzn.to/3wn9jmt
📱 Phone:- https://amzn.to/3UPKyd2
🎥 Tripod:- https://amzn.to/49Kdp6r

vlog, college life, slice of life, living, INDIAN COLLEGE,college tips,best indian college,btech,bba,how to survive college,how to make friends,college guide,how to make new friends,Indian college vlog,college advice,college vlog,college advice for freshmen,high school,college life,college decision reaction,college reaction,college,study tips,school advice,syds vids,back to school,freshman college advice,best college advice,making friends in college,motivation to study

#shrutirajput #FreeDesignTools #DesignResources #DesignHacks",2025-11-11 10:30:24+00:00,10638,560,10,55
stegnhfnk6s,Complete Beginners Guide To  2025 🔥 Full Affinity Premium Crash Course for Beginners in Hindi,"Complete Beginners Guide To  2025 🔥 Full Canva Affinity Premium Crash Course for Beginners in Hindi

In this video, you’ll learn everything you need to start designing professional graphics step-by-step, even if you’ve never opened Canva or Affinity before.  

🎯 What You’ll Learn:
• Full Canva toolkit walkthrough  
• Affinity Designer & Affinity Photo basics  
• Logo, poster, and social media design  
• Pro shortcuts, templates & creative hacks  
• Real-world design projects for beginners  

This crash course is perfect for students, freelancers, and anyone who wants to start a design career in 2025 using easy tools with no prior experience.  

✎ Connect with Me
💛 Newsletter: https://shrutiraj.substack.com/
♥️ Instagram:- https://www.instagram.com/shrutirajput.in/
🌟 Whatsapp:- https://whatsapp.com/channel/0029Va55AVh9xVJXZvzjsS3M
🐨 Twitter:- https://x.com/ShrutiiRajput
📌 My Profile: https://cosmofeed.com/bookings/shrutirajputin

🎯 Must-Have Items:-
🌟 Canva PlayBook:- Canva PlayBook:- https://spf.bio/wpqXf
📒 Broke to Freelancer:- https://shorturl.at/djorF
💰 Canva Ebook:- https://topmate.io/shruti_rajput/599203
🚀 Try Canva Pro:- https://partner.canva.com/1rVPAx
✅ Mentorship:- https://topmate.io/shruti_rajput
📒 My 1st Book:- Cash in with Canva :-  https://www.amazon.in/dp/B0CK5SBCPT

🚨 Equipment I use to Make My videos:
Mic 🎙️: https://amzn.to/42OENyf
Lights 😶‍🌫️ :- https://amzn.to/3T3tYF8
Laptop 💻:- https://amzn.to/3wn9jmt
📱 Phone:- https://amzn.to/3UPKyd2
🎥 Tripod:- https://amzn.to/49Kdp6r

🚀 Timestamps:-
00:00 Intro
02:10 Canvas Sizes
03:34 Vector Studio in Affinity by Canva
29:07 Outro

shruti rajput,freelancing,make money online, affinity designer tutorial, how to use Affinity Designer, Affinity Designer beginners, Affinity Designer logo design, Affinity Designer vector graphics, Affinity Photo alternative Photoshop, Photoshop alternative 2025, graphic design software tutorial, Adobe Illustrator for beginners, logo design Illustrator tutorial, free Affinity download Windows, Affinity Publisher Canva, Canva design tools 2025, Affinity AI features, Canva review 2025, graphic design software,free Photoshop alternative,Affinity tutorial for beginners,Photoshop killer 2025

#shrutirajput #graphicdesign",2025-11-06 10:30:43+00:00,31472,1155,123,1755
mcbAB1mNU7c,Design Your Portfolio on Behance in 30 Minutes for Free (Complete Tutorial),"Want to build a professional Behance portfolio without spending hours designing from scratch?
In this video, I walk you through exactly how I created my UX college project “Tiny Tales” from Figma → GPT-inspired concept → into a full-scrolling portfolio on Behance — entirely free.

Watch my earlier Figma tutorial here: https://youtu.be/HNa0PFpGH80?si=qGaODm9Rh_WLx7EN
Portfolio: https://www.behance.net/gallery/237482989/Tiny-Tales-Kids-UI-Webpage-Design

Whether you’re a student, junior designer, or freelancer, this tutorial will help you build a strong portfolio that stands out, attracts clients, and gets you noticed on Behance.

Don’t forget to like, comment “PORTFOLIO” if you’re going to apply this workflow, and subscribe for more design + freelancing growth tips.

✎ Connect with Me
💛 Newsletter: https://shrutiraj.substack.com/
♥️ Instagram:- https://www.instagram.com/shrutirajput.in/
🌟 Whatsapp:- https://whatsapp.com/channel/0029Va55AVh9xVJXZvzjsS3M
🐨 Twitter:- https://x.com/ShrutiiRajput
📌 My Profile: https://cosmofeed.com/bookings/shrutirajputin

🎯 Must-Have Items:-
🌟 Canva PlayBook:- Canva PlayBook:- https://spf.bio/wpqXf
📒 Broke to Freelancer:- https://shorturl.at/djorF
💰 Canva Ebook:- https://topmate.io/shruti_rajput/599203
🚀 Try Canva Pro:- https://partner.canva.com/1rVPAx
✅ Mentorship:- https://topmate.io/shruti_rajput
📒 My 1st Book:- Cash in with Canva :-  https://www.amazon.in/dp/B0CK5SBCPT

🚨 Equipment I use to Make My videos:
Mic 🎙️: https://amzn.to/42OENyf
Lights 😶‍🌫️ :- https://amzn.to/3T3tYF8
Laptop 💻:- https://amzn.to/3wn9jmt
📱 Phone:- https://amzn.to/3UPKyd2
🎥 Tripod:- https://amzn.to/49Kdp6r

00:00 Intro
02:18 GPT Inspiration
02:50 How to make a frame
03:50 Design in Figma
26:03 Cutting into Slices & Exporting
27:25 Uploading on Behance
29:45 Outro

#portfolio #figma #behance",2025-10-30 10:30:38+00:00,7322,306,42,1795
